display_name,unit_price,unit_size,size_format
Laca cabello Normal Deliplus fijación 2,2.00,0.4,l
Laca cabello Ultra Fuerte Pantene fijación 5,4.25,0.3,l
Laca cabello Xtra Forte Deliplus fijación 4,2.00,0.4,l
Laca cabello Xtra Forte Deliplus fijación 4,1.10,0.075,l
Espuma cabello Xtra Forte Deliplus fijación 4,1.90,0.3,l
Espuma cabello Xtra Forte Deliplus fijación 4,1.65,0.1,l
Espuma cabello Rizos Descarados Giorgi fijación 4,2.95,0.25,l
Espuma cabello Ondas Curly Deliplus fijación 3,1.90,0.3,l
Protector térmico cabello Termo Protect Deliplus,3.00,0.2,l
Agua de peinado cabello Aqua Styling Deliplus,2.10,0.2,l
Spray cabello Ondas Surfing Deliplus,2.40,0.2,l
Mousse fijador cabello Deliplus fijación 2,2.60,0.2,l
Laca cabello Elnett fijación fuerte,5.95,0.4,l
Polvos voluminizador para el cabello Volum Fix Deliplus mate fijación 4,3.95,0.01,kg
Gel fijador cabello Xtra Forte Deliplus fijación 4,1.60,0.25,l
Gel fijador cabello Xtra Forte Deliplus fijación 4,1.50,0.1,l
Gel fijador cabello Forte Deliplus fijación 3,1.60,0.4,l
Cera cabello Mate Deliplus fijación 4,3.10,0.1,l
Gel fijador cabello X-trem Deliplus fijación 6,1.60,0.25,l
Gel fijador cabello Wet Shine Fructis fuerte 02,2.75,0.25,l
Gel fijador cabello extra fuerte Giorgi fijación 3,2.95,0.17,l
Gel fijador cabello control total Giorgi fijación 5,2.95,0.17,l
Cera cabello Brillo Deliplus fijación 4,3.10,0.1,l
Gel activador de rizos cabello Curl Perfect Deliplus fix 3,2.95,0.2,l
Gel fijador de rizos cabello Curl Control Syoss,3.95,0.25,l
Gel de afeitar Sensitive Deliplus,1.75,0.2,l
Gel de afeitar Sensitive Deliplus,1.35,0.075,l
Espuma de afeitar Sensitive Deliplus manteca de cacao,1.55,0.3,l
Gel de afeitar piel sensible Gillette con aloe vera,2.80,0.2,l
Espuma de afeitar piel sensible Gillette con aloe vera,2.15,0.25,l
Bálsamo after shave Sensitive Nivea Men 0% alcohol,5.55,0.1,l
Bálsamo after shave Sensitive Deliplus 0% alcohol antiedad,1.60,0.1,l
Lote corporal hombre Axe Dark Temptation,12.00,1.0,ud
Loción after shave Fresh Deliplus con alcohol,1.35,0.15,l
Lote corporal Nivea Men,12.00,1.0,ud
Maquinillas de afeitar desechables Deliplus Fix 2 hojas,1.10,1.0,ud
Maquinillas de afeitar desechables Gillette Blue Plus 2 hojas,3.40,1.0,ud
Maquinillas de afeitar desechables Deliplus Active 3 hojas,1.95,1.0,ud
Maquinillas de afeitar desechables Gillette Sensor Comfort 3 hojas,5.00,1.0,ud
Maquinillas de afeitar desechables Gillette Blue Plus 2 hojas,8.00,1.0,ud
Maquinilla de afeitar recargable Deliplus Precision System 3 hojas,3.00,1.0,ud
Maquinilla de afeitar recargable Deliplus Precision System 5 hojas,3.70,1.0,ud
Maquinillas de afeitar desechables Deliplus Active 2 hojas,1.95,1.0,ud
Maquinilla de afeitar recargable Deliplus Precision System 6 hojas,5.00,1.0,ud
Maquinilla de afeitar recargable Gillette Fusion Sport 5 hojas,8.60,1.0,ud
Maquinilla de afeitar recargable Gillette Mach Sport 3 hojas,8.95,1.0,ud
Maquinilla de afeitar recargable Deliplus Flection System 6 hojas,6.95,1.0,ud
Recambios maquinilla de afeitar Deliplus Precision System 3 hojas,3.50,1.0,ud
Recambios maquinilla de afeitar Deliplus Precision System 6 hojas,5.50,1.0,ud
Recambios maquinilla de afeitar Gillette Fusion Sport 5 hojas,12.70,1.0,ud
Recambios maquinilla de afeitar Gillette Mach Sport 3 hojas,8.95,1.0,ud
Recambios maquinilla de afeitar Gillette Labs 5 hojas,18.55,1.0,ud
Recambios maquinilla de afeitar Deliplus Flection System 6 hojas,7.95,1.0,ud
"Crema cara, cuerpo y manos Nivea Men",4.00,0.15,l
Cuidado hidratante Hydra energetic L'Oréal men expert anti-fatiga 24h,6.95,0.05,l
Gel crema facial revitalizante e hidratante Deliplus Men Care Vital,5.00,0.05,l
Contorno de ojos Men Care Regen Skin Deliplus,5.00,0.015,l
Crema facial Power Age L'Oréal men expert hidratante anti-edad,8.95,0.05,l
Lote corporal Nivea Men,12.00,1.0,ud
Loción corporal Hidrata Deliplus aloe vera y ácido hialurónico,1.80,0.6,kg
Crema corporal Nivea,4.00,0.25,l
Aceite corporal aloe vera Deliplus,1.65,0.4,l
Gel corporal aloe vera Deliplus,4.10,0.4,l
Loción corporal Repara Deliplus urea 10% y dexpantenol,2.20,0.4,l
"Loción corporal Calm Deliplus omega 3, 6, 9 y niacinamida",2.20,0.4,l
Loción corporal reafirmante Q10 Nivea y vitamina C,5.30,0.4,l
Exfoliante corporal marino Deliplus Sal Mar Muerto,4.55,0.4,kg
Aceite en crema corporal oriental Deliplus,3.00,0.25,l
Aceite corporal de almendras Deliplus 100% natural,3.40,0.2,l
Crema corporal anticelulítica Deliplus,2.00,0.25,l
Gel corporal aloe vera puro Atlantia,5.50,0.2,l
"Leche corporal nutritiva Nivea con ácido hialurónico, aceite de almendras y sérum de nutrición profunda",4.95,0.4,l
Aceite corporal de romero Deliplus 100% natural,3.20,0.2,l
Gel anticelulítico efecto frío Deliplus,3.80,0.2,l
Tratamiento crema reductor intensivo noche Deliplus,4.90,0.2,l
Loción corporal Bronz efecto bronceado Deliplus,3.75,0.4,l
Gel refrescante mentol Deliplus para pies y piernas,2.50,0.3,l
Loción corporal Nutre Deliplus almendras y cica,2.40,0.6,l
Aceite corporal rosa mosqueta Deliplus,4.80,0.03,l
Exfoliante corporal de coco Deliplus,4.00,0.25,l
Crema corporal Esferas Vit. E&A Deliplus,3.10,0.3,l
Lote corporal mujer Dove,9.95,1.0,ud
Lote corporal mujer Nivea,10.95,1.0,ud
Aceite corporal Oil Glow Maracujá Deliplus,6.75,0.145,l
Sorbete corporal Posidónia Deliplus,3.00,0.3,l
Crema corporal Olive Deliplus,1.80,0.3,l
Manteca corporal Murumuru Deliplus,4.50,0.3,l
Manteca en spray corporal Hidratante Cherry Deliplus,3.50,0.2,l
"Exfoliante y peeling corporal Double 
Body Peel Maracujá Deliplus",4.00,0.2,l
Glitter roll-on corporal Cherry Deliplus,3.50,0.075,l
Crema de manos flor de Japón Deliplus Hidrata & Perfuma,1.00,0.03,l
Crema de manos hidratante con aloe vera Deliplus,1.00,0.075,l
Crema de manos reparadora Deliplus,1.30,0.075,l
"Crema de manos, cara y cuerpo Nivea Soft hidratante intensiva",1.95,0.075,l
Crema de manos anti-manchas Deliplus FPS 20,1.30,0.075,l
Crema de manos intensiva Dove,2.00,0.075,l
Crema de manos Karitesse Deliplus,2.70,0.29,l
Crema de manos nutritiva Karité Deliplus,1.30,0.075,l
Crema para pies 10% urea pura Deliplus,1.20,0.125,l
Crema hidratante para pies Deliplus anti-sequedad,1.50,0.125,l
Stick para pies anti-rozaduras Deliplus,2.50,0.004,l
Mascarilla de pies exfoliante Deliplus con ácido salicílico,3.00,0.04,kg
Mascarilla de pies hidratante Deliplus con centella asiática & mentol,2.50,0.04,kg
Papel higiénico húmedo WC Bosque Verde,1.55,100.0,ud
Papel higiénico húmedo WC Bosque Verde,0.80,1.0,ud
Toallitas desmaquillantes cara y ojos Deliplus piel normal-mixta,1.15,1.0,ud
Toallitas desmaquillantes cara y ojos Deliplus piel seca y sensible,1.15,25.0,ud
Toallitas Dermo higiene corporal Deliplus tamaño gigantes,4.15,60.0,ud
Toallitas de manos hidroalcohólicas Deliplus 75% Alcohol,1.00,15.0,ud
Toallitas desmaquillantes Micelar & Oil Deliplus para todo tipo de pieles,1.50,1.0,ud
Toallitas rostro y cuerpo autobronceadoras Deliplus monodosis,5.00,6.0,ud
Toallitas refrescantes Deliplus,0.90,15.0,ud
Toallitas refrescantes Deliplus monodosis,1.00,1.0,ud
Discos desmaquillantes Deliplus redondos algodón 100%,1.05,1.0,ud
Toallitas desmaquillantes cara y ojos Deliplus piel normal-mixta,1.15,1.0,ud
Toallitas desmaquillantes cara y ojos Deliplus piel seca y sensible,1.15,25.0,ud
Discos desmaquillantes Deliplus ovalados algodón 100%,1.50,1.0,ud
Agua micelar cara y ojos Facial Clean Deliplus,3.00,0.4,l
Mascarilla facial peeling de alga negra Montagne Jeunesse,1.75,0.016,l
Desmaquillador de ojos y labios bifásico Waterproof Facial Clean Deliplus,2.00,0.15,l
Leche facial limpiadora Facial Clean Deliplus,1.50,0.25,l
Esponja facial desmaquillante Deliplus vegetal,1.00,1.0,ud
Gel facial limpiador Facial Clean Deliplus,2.50,0.25,l
"Limpiador, exfoliante y mascarilla Arcilla Blanca Facial Clean Deliplus",3.50,0.1,l
Tiras faciales limpia poros Deliplus,3.00,1.0,ud
Mousse facial limpiadora purificante Deliplus Oil Free,3.85,0.2,l
Agua facial de avena Deliplus,2.90,0.3,l
Toallitas desmaquillantes Micelar & Oil Deliplus para todo tipo de pieles,1.50,1.0,ud
Mascarilla facial Hidra Boom Mask Deliplus con Camelias de Jeju y ácido hialurónico,1.75,1.0,ud
Tónico facial árbol de té y prebióticos Facial Clean Deliplus,3.20,0.255,l
Tónico facial vitamina C y niacinamida Facial Clean Deliplus iluminador y antioxidante,3.20,0.255,l
Discos impregnados ácido salicílico Deliplus Oil Free purificantes y seborreguladores,4.00,50.0,ud
Mascarilla facial infantil Cat Mask Deliplus con cereza y manzana,2.00,1.0,ud
Aceite facial micelar desmaquillante y limpiador Deliplus Facial Clean,3.75,0.15,l
Bruma facial hidratante Facial Clean Deliplus con ácido hialurónico y niacinamida,3.50,0.1,l
Disco desmaquillante Deliplus reutilizable,2.75,1.0,ud
"Crema facial Revitaliza y Reestructura Sisbela Reafirm Deliplus con ácido ribonucleico RNA, ácido desoxirribonucleico DNA y silicio",5.00,0.05,l
Hidratante facial BB cream Deliplus 01 claro FPS 20,4.50,0.05,l
Hidratante facial BB cream Deliplus 02 medio FPS 20,4.50,0.05,l
Crema facial día Antiarrugas Regen Skin Deliplus,5.50,0.05,l
Crema facial Dragon's Blood Anti Ox Deliplus FPS 12,5.00,0.05,l
Crema facial noche Textura Rica Regen Skin Deliplus,5.50,0.05,l
Crema facial fluida hidratante Deliplus Oil Free,4.00,0.05,l
Crema facial hidratante y fortalecedora Deliplus Sensitive con vitamina K Ox,6.00,0.05,l
Gel facial secante de imperfecciones Deliplus Oil Free,4.25,0.015,l
Gel crema facial revitalizante & iluminador Anti Ox Deliplus con FPS 50 y Vitamina C,5.50,0.05,l
Crema facial noche Deliplus aclarante anti-manchas,5.50,0.05,l
Crema facial protectora anti-manchas Deliplus FPS 50+,5.50,0.05,l
Gel facial Hidrata Deliplus ácido hialurónico,5.00,0.05,l
Crema facial Hidrata Deliplus ácido hialurónico y aloe vera,5.00,0.05,l
Gel facial sebo-regulador Deliplus Matifica,6.00,0.05,l
Crema facial Antiarrugas y Reafirmante Men care Deliplus ácido hialurónico y matrixyl,5.00,0.05,l
Crema facial Retinal primeras arrugas Prevent Age Skin Deliplus,5.50,0.05,l
Crema facial Nutritiva redensificadora Green Caviar y Colágeno Prevent Age Ski Deliplus,5.50,0.05,l
Esencia facial hidratante y oxigenante  Prevent Age Skin Deliplus,7.00,0.125,l
Contorno de ojos Antiarrugas e Iluminador con silicio Sisbela Reafirm Deliplus,4.50,0.015,l
Sérum reductor instantáneo de bolsas y ojeras Deliplus Sisbela Reafirm,5.00,0.01,l
Crema contorno de ojos y párpados Dragon's blood Deliplus Anti Ox,4.50,0.015,l
Contorno de ojos arrugas y bolsas Deliplus Prevent Age Skin,4.50,0.015,l
Cápsulas para ojos Regen Skin Deliplus,5.00,0.0039,l
Parches para ojos de hidrogel Deliplus con ácido hialurónico y colágeno,1.75,2.0,ud
Perlas faciales Q10 Khanya concentrado reafirmante antiarrugas,1.50,1.0,ud
Ampollas faciales spray flash Tensor Effect Deliplus Sisbela Reafirm,2.50,0.004,l
Ampollas faciales Ácido Hialurónico Hidrata Deliplus concentrado,3.50,0.014,l
Sérum facial potenciador 12% silicio Deliplus Sisbela Reafirm,5.50,0.03,l
Sérum aceite facial Licopeno Anti Ox,6.00,0.03,l
Sérum facial Retinol Regen Skin Deliplus,5.50,0.03,l
Sérum facial Despigmentante Deliplus Anti-manchas,5.50,0.03,l
Sérum facial sebo-regulador Deliplus Matifica,6.00,0.03,l
Sérum facial Ácido Hialurónico y Ceramidas Deliplus Hidrata,5.50,0.03,l
Sérum facial reparador Micro Cápsulas Deliplus,9.00,0.03,l
Sérum facial Q10 Antiarrugas Deliplus,3.00,0.01,l
Aceite de Ricino Deliplus,3.45,0.03,l
Sérum de pestañas SOS cuida y refuerza Deliplus,5.00,0.0085,l
Cápsulas vitamina C 10% Antiox Deliplus,7.00,0.0005,l
Bandas de cera facial Deliplus piel sensible,1.10,1.0,ud
Bandas de cera especial piernas Deliplus piel sensible,1.40,1.0,ud
Crema depilatoria hombre Deliplus piel normal,2.80,0.2,l
Crema depilatoria mujer para el cuerpo Deliplus piel sensible,2.80,0.2,l
Crema decolorante rostro y cuerpo Deliplus piel sensible,3.50,0.15,l
Cera caliente en tarro Deliplus piel sensible,4.10,0.25,kg
Cera facial caliente en tarro Deliplus piel sensible,3.75,0.1,kg
Gel para depilar con cuchilla Deliplus piel sensible,2.60,0.2,l
Crema depilatoria facial Deliplus piel sensible,2.30,0.02,l
Pinza de cejas Deliplus oblicua,2.00,1.0,ud
Pinza de cejas Deliplus recta,2.00,1.0,ud
Bandas de cera facial Sens Veet piel sensible,2.95,1.0,ud
Maquinillas depilación desechables Deliplus Body 2 hojas,1.00,1.0,ud
Maquinillas depilación Deliplus Body 3 hojas,2.15,1.0,ud
Maquinillas depilación desechables Gillette Venus Colors 3 hojas,3.45,1.0,ud
Maquinilla depilación recargable Gillette Venus Comfortglide Breeze 3 hojas,6.95,1.0,ud
Recambios maquinilla depilación Gillette Venus Comfortglide Breeze 3 hojas,10.80,1.0,ud
Maquinilla depilación recargable Wilkinson Hydro Silk 5 hojas,4.95,1.0,ud
Recambios maquinilla depilación Wilkinson Hydro Silk 5 hojas,7.95,1.0,ud
Maquinilla depilación recargable Deliplus Body System 6 hojas,5.00,1.0,ud
Recambios maquinilla depilación Deliplus Body System 6 hojas,4.70,3.0,ud
Lote mujer depilación Deliplus Body System 6 hojas,9.00,1.0,ud
Desodorante roll-on Aloe Deliplus antitranspirante,0.85,0.05,l
Desodorante roll-on Dermo extra control Sanex antitranspirante,2.10,0.05,l
Desodorante roll-on Invisible Black & White Nivea antitranspirante,2.00,0.05,l
Desodorante roll-on Avena Deliplus antitranspirante,0.85,0.05,l
Desodorante roll-on Sensitive Byly,1.90,0.05,l
Desodorante roll-on Dermo Sensitive Sanex antitranspirante,2.10,0.05,l
Desodorante roll-on Invisible Black & White Nivea Men antitranspirante,2.00,0.05,l
Desodorante roll-on Dry impact Nivea Men antitranspirante,2.35,0.05,l
Desodorante stick original Tulipán Negro,2.90,0.1,l
Desodorante roll-on Active control Sanex men antitranspirante,2.10,0.05,l
Desodorante en crema piel delicada Deliplus antitranspirante,1.60,0.05,l
Desodorante en crema original Dove antitranspirante,2.30,0.05,l
Desodorante piedra de alumbre mineral Deonat,2.20,0.06,kg
Desodorante roll-on original Dove antitranspirante,2.50,0.05,l
Desodorante roll-on Zero Sanex,2.10,0.05,l
Desodorante stick Deo Bambú Deliplus antimanchas,1.90,0.05,l
Desodorante roll-on Invisible Deliplus antitranspirante,0.85,0.05,l
Desodorante roll-on Invisible men Deliplus antitranspirante,0.85,0.05,l
Desodorante roll-on Fashion Seda Deliplus antitranspirante,0.85,0.05,l
Desodorante aloe Deliplus antitranspirante,1.70,0.2,l
Desodorante aqua Deliplus antimanchas,1.70,0.2,l
Desodorante power Deliplus antimanchas,1.70,0.2,l
Desodorante invisible black + white Rexona antimanchas,2.70,0.2,l
Desodorante invisible ice fresh Rexona Men antitranspirante y antimanchas,2.70,0.2,l
Desodorante original Dove antitranspirante,3.55,0.2,l
Desodorante invisible Black & White Nivea,2.50,0.2,l
Desodorante invisible Deliplus antitranspirante,1.70,0.2,l
Desodorante seda Deliplus antitranspirante,1.70,0.2,l
Desodorante invisible Black & White Nivea Men antitranspirante,2.50,0.2,l
Desodorante invisible men Deliplus antitranspirante y antimanchas,1.70,0.2,l
Desodorante perfume Fashion Deliplus antitranspirante,1.70,0.2,l
Desodorante Dark Temptation Axe Essentiel,3.35,0.2,l
Desodorante cobalt dry Rexona Men antitranspirante,2.70,0.2,l
Desodorante dermo extra control Sanex antitranspirante,2.40,0.2,l
Desodorante avena Deliplus antitranspirante,1.70,0.2,l
Desodorante Lactovit anti irritaciones,2.75,0.2,l
Desodorante original Heno de Pravia,3.25,0.25,l
Desodorante aloe Deliplus antitranspirante,1.50,0.075,l
Desodorante Zero Sanex,2.90,0.2,l
Desodorante limite Deliplus antimanchas,1.70,0.2,l
Desodorante para pies en polvo Deliplus antitranspirante,2.00,0.075,kg
Desodorante para pies fresh & dry Deliplus antitranspirante,2.00,0.15,l
Gel de baño frutal Deliplus piel normal,1.05,1.0,l
Gel de baño oliva Deliplus piel seca,1.60,0.75,l
Gel de baño frescor azul Deliplus piel normal,1.10,0.75,l
Gel de baño hidratante Natural Honey,2.85,0.9,l
Gel-Champú de baño 2 en 1 dermoprotector Deliplus para cuerpo y cabello,1.00,0.25,l
Gel de baño avena Deliplus piel sensible,1.60,0.75,l
Gel de baño Dove 0% sulfato,3.95,0.72,l
Envase rellenable Deliplus tamaño viaje,0.90,0.1,l
Gel de baño con sales minerales La Toja,2.95,0.6,l
Gel de baño Classic original Magno,3.70,0.6,l
Gel de baño argán Deliplus piel muy seca,1.50,0.5,l
Gel de baño nutritivo Lactovit piel normal y seca,2.95,0.75,l
Gel de baño Hidratante y protector Sanex para todo tipo de piel,3.90,0.85,l
Gel de baño 10% urea Deliplus piel áspera y deshidratada,2.00,0.5,l
Gel aceite de baño Deliplus piel atópica,3.50,0.5,l
Gel de baño exfoliante Té Chai Deliplus piel normal,2.50,0.5,l
Gel de baño marino y cedro Deliplus piel normal,1.60,0.75,l
Gel de baño vainilla y miel Deliplus piel normal,1.60,0.75,l
Gel de baño coco y lichi Deliplus piel normal,1.60,0.75,l
Gel de baño ambar y vetiver Deliplus piel normal,1.60,0.75,l
Gel de baño granada y frutos silvestres Deliplus piel normal,1.60,0.75,l
Gel de baño tiernos recuerdos Deliplus piel normal,1.60,0.75,l
Jabón de manos en pastilla Beauty Cream Bar Dove,3.50,0.36,kg
Jabón de manos en pastilla natural original Heno de Pravia,2.50,0.23,kg
Jabón de manos en pastilla glicerina 100% natural Deliplus,1.10,0.125,kg
Jabón de manos dermoprotector Deliplus,0.90,0.5,l
Jabón de manos avena Deliplus líquido,1.40,0.5,l
Jabón de manos kids Deliplus líquido,1.40,0.5,l
Jabón de manos tiernos recuerdos Deliplus,1.40,0.5,l
Gel de manos hidroalcohólico 80% alcohol Deliplus antiséptico sin aclarado,1.20,0.075,l
Recarga jabón de manos dermoprotector Deliplus,1.50,1.0,l
Jabón de manos neutraliza olores Deliplus,1.80,0.5,l
Esponjas de baño con jabón Deliplus,1.20,1.0,ud
Esponja de baño flor Deliplus exfoliación suave,0.85,1.0,ud
Esponja de baño doble acción suave masaje Deliplus,1.30,1.0,ud
Esponja de baño suave Deliplus,1.30,1.0,ud
Esponja de baño vegetal fibras naturales Deliplus,1.40,1.0,ud
Esponja de baño rizo suave Deliplus,1.30,2.0,ud
Esponja de baño dermo agua Deliplus,1.50,1.0,ud
Guante de Crin exfoliante Deliplus,2.15,1.0,ud
Esponja de baño infantil Disney,1.90,1.0,ud
Toalla turbante seca pelo microfibra Deliplus,2.70,1.0,ud
Toalla turbante kids estampado seca pelo microfibra Deliplus,2.50,1.0,ud
Dentífrico Triple Acción Colgate menta intensa,1.95,0.1,l
Dentífrico Pro-Expert Oral-B sabor menta especiada,2.65,0.075,l
Dentífrico Total original Colgate,2.90,0.075,l
Dentífrico Blanqueador Bicarbonato Signal,1.85,0.1,l
Dentífrico Protección Caries Colgate,1.95,0.1,l
Dentífrico Bicarbonato blanqueador Deliplus,1.10,0.1,l
Dentífrico Repair & Protect Sensodyne,4.65,0.075,l
Dentífrico Blanqueante Sensodyne,3.85,0.075,l
Dentífrico Max White One Colgate,2.65,0.075,l
Dentífrico Max Fresh Colgate sabor menta fresca,2.60,0.1,l
Dentífrico Fresh Gel Deliplus menta extra refrescante,1.10,0.1,l
Dentífrico Herbal Deliplus,1.10,0.1,l
Dentífrico Encías Protect Deliplus,1.70,0.1,l
Dentífrico Dental Pearl Deliplus blanqueador,1.95,0.1,l
Dentífrico 3 action Deliplus,1.10,0.1,l
Dentífrico gel White Effect Blanqueador 2 en 1 Deliplus,1.05,0.1,l
Dentífrico Anticaries Deliplus,1.05,0.1,l
Dentífrico infantil + 2 años Deliplus,1.00,0.075,l
Dentífrico Sensitive Deliplus con hidroxiapatita,1.50,0.1,l
Dentífrico infantil +6 años Deliplus menta suave,1.00,0.075,l
Dentífrico infantil +6 años Deliplus sabor gominola,1.00,0.075,l
Dentífrico reparación activa de encías Parodontax menta fresca,4.75,0.075,l
Kit de viaje higiene dental Deliplus 3 Action,2.35,1.0,ud
Cepillo dental Medio Deliplus,1.00,1.0,ud
Cepillo dental Suave Deliplus,1.00,1.0,ud
Cepillo dental Duro Deliplus,1.00,1.0,ud
Cepillo dental Medio Oral-B,2.80,1.0,ud
Cepillo dental Sensitive Deliplus encías y dientes sensibles,1.30,1.0,ud
Cepillo dental Infantil Deliplus,0.90,1.0,ud
Recambios cepillo dental Eléctrico Deliplus tamaño medio,3.75,1.0,ud
Cepillo dental Especial Ortodoncia Deliplus,1.90,1.0,ud
Recambios cepillo dental eléctrico Oral-B Pro Precision Clean,14.95,1.0,ud
Cepillo dental Medio Deliplus + Action,1.50,1.0,ud
Cepillo dental Eléctrico Oral-B Vitality Pro Precision Clean,24.00,1.0,ud
Kit de viaje higiene dental Deliplus 3 Action,2.35,1.0,ud
Enjuague bucal Total Action Deliplus,1.35,0.5,l
Enjuague bucal Fresh 0% alcohol Deliplus,1.35,0.5,l
Cepillos interdentales Extrafinos cónicos Deliplus,1.50,1.0,ud
Enjuague bucal Explosion Action Deliplus,1.35,0.5,l
Enjuague bucal Blanqueador Bicarbonato Deliplus zero alcohol,1.50,0.5,l
Crema adhesiva para prótesis dentales Benfix sin sabor,3.50,0.05,kg
Spray bucal refrescante Deliplus,2.00,0.01,l
Cepillos interdentales Finos cónicos Deliplus,1.50,1.0,ud
Enjuague bucal protección dientes y encías Listerine menta,4.50,0.5,l
Hilo dental con cera y sabor menta,1.80,1.0,ud
Enjuague bucal cuidado total Listerine menta,4.50,0.5,l
Enjuague bucal Clorhexidina gingival Deliplus zero alcohol,2.00,0.5,l
Enjuague bucal Kids Deliplus zero alcohol,1.40,0.5,l
Cinta dental con cera y sabor menta,2.50,1.0,ud
Crema fijadora prótesis dentales Polident fijación fuerte,4.85,0.044,kg
Tabletas limpiadoras prótesis dentales Benfix y ortodoncias,2.45,1.0,ud
Arcos dentales para higiene interdental Deliplus,1.80,1.0,ud
Cepillos interdentales Micro Deliplus,1.50,1.0,ud
Enjuague bucal Sensitive & Encías Deliplus zero alcohol,1.90,0.5,l
Compresa sin alas normal Deliplus Classic,1.10,1.0,ud
Compresa con alas noche plegada Deliplus Classic,1.40,1.0,ud
Compresa sin alas de incontinencia Deliplus Maxi,3.15,12.0,ud
Compresa con alas normal Deliplus Suave,2.15,1.0,ud
Compresa con alas noche Deliplus Suave,1.15,1.0,ud
Compresa sin alas de incontinencia Deliplus Extra,3.35,20.0,ud
Compresa sin alas normal plegada Deliplus Classic,1.20,1.0,ud
Compresa con alas super Deliplus Suave,2.15,1.0,ud
Compresa sin alas super plegada Deliplus Classic,1.40,1.0,ud
Compresa con alas normal Evax cotton like fresh,4.50,1.0,ud
Compresa con alas normal Deliplus Dry,2.15,1.0,ud
Compresa con alas super Deliplus Dry,2.15,1.0,ud
Compresa sin alas de incontinencia Deliplus Normal,3.35,24.0,ud
Compresa con alas super Evax cotton like fresh,4.20,1.0,ud
Compresa con alas noche Ausonia,2.95,1.0,ud
Compresa sin alas normal Deliplus Suave,2.15,1.0,ud
Compresa con alas normal Ausonia,2.95,1.0,ud
Compresa con alas super Ausonia,2.95,1.0,ud
Compresa sin alas super Deliplus Suave,2.15,1.0,ud
Compresa sin alas de incontinencia Deliplus Mini,3.35,30.0,ud
Compresa con alas normal Deliplus Suave,1.00,1.0,ud
Compresa con alas normal Deliplus Cotton,3.40,1.0,ud
Compresa con alas super Deliplus Cotton,3.40,1.0,ud
Compresa sin alas de incontinencia Deliplus Maxi Night,3.15,10.0,ud
Compresa sin alas normal Evax cotton like,2.85,1.0,ud
Protegeslip normal Deliplus Suave,1.85,1.0,ud
Protegeslip y compresa 2 en 1 Deliplus Suave,1.65,1.0,ud
Protegeslip maxi Deliplus Suave,2.25,1.0,ud
Protegeslip normal Evax,3.50,1.0,ud
Protegeslip normal plegado Deliplus Suave,1.10,1.0,ud
Protegeslip Cotton flexiform Carefree regular + tanga,1.70,1.0,ud
Protegeslip ultrafino Deliplus Fresh,1.25,1.0,ud
Protegeslip tanga Deliplus Fresh,1.25,1.0,ud
Protegeslip micro Deliplus Fresh,2.00,1.0,ud
Protegeslip de incontinencia Deliplus pequeño,3.10,1.0,ud
Protegeslip normal Deliplus Dry,2.10,1.0,ud
Protegeslip maxi Deliplus Dry,2.50,1.0,ud
Protegeslip normal Deliplus Cotton,1.70,1.0,ud
Protegeslip maxi Deliplus Cotton,1.80,1.0,ud
Tampones super Tampax Compak con aplicador,5.75,1.0,ud
Tampones super plus Tampax Compak con aplicador,5.75,1.0,ud
Tampones regular Tampax Compak con aplicador,5.75,1.0,ud
Tampones regular Tampax Pearl con aplicador,3.85,1.0,ud
Tampones super Tampax Pearl con aplicador,3.85,1.0,ud
Tampones super plus Tampax Pearl con aplicador,3.85,1.0,ud
Tampones super Deliplus con aplicador suave,2.55,1.0,ud
Tampones regular Deliplus con aplicador suave,2.55,1.0,ud
Tampones super plus Deliplus con aplicador suave,2.55,1.0,ud
Tampones mini Deliplus con aplicador suave,2.55,1.0,ud
Tampones regular Deliplus 100% algodón,3.40,18.0,ud
Tampones super Deliplus 100% algodón,3.40,18.0,ud
Tampones super plus Deliplus 100% algodón,3.40,15.0,ud
Protector cama tamaño 60 x 90 cm Deliplus,8.50,1.0,ud
Pañal adulto braguita talla M Deliplus Pants plus,10.80,1.0,ud
Pañal adulto braguita talla L Deliplus Pants Plus,11.95,1.0,ud
Compresa de incontinencia Tena masculina,4.05,1.0,ud
Pañal adulto talla M de 70-130 cm Deliplus,13.55,1.0,ud
Pañal adulto talla L Deliplus,14.80,1.0,ud
Toallitas íntimas cuidado diario Deliplus,1.40,25.0,ud
Toallitas íntimas cuidado diario Deliplus,1.05,1.0,ud
Toallitas íntimas Deliplus monodosis,1.15,1.0,ud
Gel de higiene íntima Deliplus,1.25,0.5,l
Gel de higiene íntima hidratante Deliplus,2.25,0.5,l
Laca de uñas top coat efecto gel Deliplus 100,3.50,0.01,l
Tratamiento para uñas base 9 en 1 Deliplus vitaminada y alisadora,3.50,0.01,l
Tratamiento para uñas endurecedor Deliplus,3.50,0.01,l
Tratamiento para uñas gotas secantes Deliplus 45,2.95,0.011,l
Tratamiento para uñas gel brillo top coat Deliplus secado rápido,3.50,0.01,l
Laca de uñas manicura francesa Deliplus 01 blanco punta,2.75,0.011,l
Laca de uñas manicura francesa Deliplus 03 rosa,2.75,0.011,l
Laca de uñas manicura francesa Deliplus 06 blanco milky,2.75,0.011,l
Tratamiento para uñas y cutículas Sérum SOS Deliplus,3.50,0.01,l
Laca de uñas base brillo Deliplus 67,2.50,0.011,l
